ID,Work Item Type,Title,Test Step,Step Action,Step Expected
25609,Test Case,Request Form Navigation,,,
,,,1,"Navigate to Power Apps 
https://apps.powerapps.com/play/e/4d750f69-e41e-eef2-9f2d-0a1a538a9c00/a/a3c7aa7f-b23c-4abb-97fa-b5134f6f8c56?tenantId=16532572-d567-4d67-8727-f12f7bb6aed3&amp;hint=5fbbcdb0-8caf-41f1-ad8c-4c36bae0d8e6&amp;sourcetime=1731506807354&amp;source=portal&source=teamsLinkUnfurling
","Power Apps page should load successfully.

"
,,,3,"Locate the ""Begin"" button associated with accessing the request form.



","""Begin"" button is visible and clickable
"
,,,4,The user clicks on the Begin button,* A drawer containing the Request Form should open smoothly. 
,,,5,"Verify the visibility of the request form
",Request form is fully visible with all form fields properly displayed
,,,6,"Check the availability of all required fields
","All mandatory fields (e.g., Project ID, EMD Email, etc.) are present and enabled
"
,,,7,"Confirm that focus is set to the first input field
","Cursor appears in the first form field (e.g., Name) upon drawer opening
"
21630,Test Case,Browser Accessibility,,,
20928,Shared Steps,,1,Applictaion Navigation_SOC Report Extractor,
,,,1.1,"Navigate to Power Apps

","Power Apps page should load successfully.

"
,,,1.3,The user clicks on the Begin button,AI Attestation pop-up is displayed
,,,1.4,The user clicks on the AGREE button in an AI Attestation pop-up,"The option should be accepted, and the user should be navigated to the request form.

"
,,,1.5,"Click on checkbox ""I agree to the TAP chargeback model. See details"" to submit the files.","* The ""Submit"" button should become active and clickable, allowing the user to submit the files."
,,,2,Enter Submission Inputs,"Project ID, Engagement MD Email"
,,,3,"Attach Document(s)
","SOC Report Attachments, RCM (if applicable)"
,,,4,"Click on Submit
","User confirms submission of documents 
"
,,,5,"Observe that Output Screen Opens
","Requested  submission should go through
"
,,,6,No Error Message Provided,"No Error message occurs when opening the App during the Application Navigation Phase, attaching document(s), attempting to fill in fields, or trying to submit a translation "
,,,7,"Execute the above steps from 1-5 for Edge, Google Chrome etc. ","App should open properly, and User is able to submit the request."
21632,Test Case,Video Tutorial Accessibility,,,
20928,Shared Steps,,1,Applictaion Navigation_SOC Report Extractor,
,,,1.1,"Navigate to Power Apps

","Power Apps page should load successfully.

"
,,,1.3,The user clicks on the Begin button,AI Attestation pop-up is displayed
,,,1.4,The user clicks on the AGREE button in an AI Attestation pop-up,"The option should be accepted, and the user should be navigated to the request form.

"
,,,1.5,"Click on checkbox ""I agree to the TAP chargeback model. See details"" to submit the files.","* The ""Submit"" button should become active and clickable, allowing the user to submit the files."
,,,2,"Click on ""Video"" shown on Home Page",Video Opens to Full Screen
,,,3,Confirm Video Tutorial Works as Expected,Tutorial should begin playing upon selection
21770,Test Case,Submit Button Function - Positive,,,
20928,Shared Steps,,1,Applictaion Navigation_SOC Report Extractor,
,,,1.1,"Navigate to Power Apps

","Power Apps page should load successfully.

"
,,,1.3,The user clicks on the Begin button,AI Attestation pop-up is displayed
,,,1.4,The user clicks on the AGREE button in an AI Attestation pop-up,"The option should be accepted, and the user should be navigated to the request form.

"
,,,1.5,"Click on checkbox ""I agree to the TAP chargeback model. See details"" to submit the files.","* The ""Submit"" button should become active and clickable, allowing the user to submit the files."
,,,2,Enter Submission Inputs,"Project ID, Engagement MD Email"
,,,3,Attach Document(s),"SOC Report Attachments, RCM (if applicable)
"
,,,4,Click on Submit,User confirms Submission of Documents to be Extracted
,,,5,Observe that Output Screen Opens,Requested submission goes through
